Fecha,Región,PIB,Tasa_Desempleo,Inflación,Comercio_Exterior,Producción_Industrial,Sector
2023-08-01,Centro,5681.95,8.28,-0.93,168.97,104.86,Industria
2020-03-01,Oriente,4869.86,14.46,2.44,118.18,131.39,Agricultura
2023-05-01,Oriente,3993.98,11.4,3.51,78.58,109.36,Industria
2023-12-01,Occidente,5628.35,5.0,1.97,207.58,89.84,Servicios
2023-03-01,Centro,5975.12,7.86,-0.3,185.29,106.19,Industria
2021-01-01,Occidente,4436.28,10.8,-0.39,224.5,92.4,Servicios
2024-01-01,Sur,4528.96,4.93,4.92,223.2,78.28,Agricultura
2020-10-01,Oriente,3592.54,12.94,4.68,128.16,96.8,Servicios
2024-03-01,Norte,5310.91,8.67,4.44,347.54,99.71,Servicios
2020-03-01,Norte,3997.47,4.12,1.81,232.27,87.59,Servicios
2020-11-01,Centro,5519.35,14.58,1.25,353.27,110.35,Industria
2020-10-01,Centro,4598.78,6.46,4.78,222.41,100.19,Servicios
2024-01-01,Occidente,5097.68,14.66,2.14,122.7,121.77,Agricultura
2023-11-01,Occidente,5959.27,9.0,2.77,287.23,102.75,Servicios
2024-06-01,Sur,7189.8,7.05,0.13,119.17,68.14,Agricultura
2022-04-01,Sur,4474.24,10.42,-0.53,234.18,128.14,Industria
2021-11-01,Sur,5950.42,11.53,-0.02,142.31,80.2,Industria
2022-02-01,Norte,6831.46,14.26,4.2,317.94,92.96,Industria
2024-10-01,Norte,3286.87,14.67,4.05,335.39,98.28,Agricultura
2024-04-01,Occidente,6237.82,8.56,0.64,200.52,100.7,Industria
2021-06-01,Norte,4549.93,8.96,-0.23,262.28,101.8,Agricultura
2022-05-01,Centro,5514.44,6.52,3.03,46.59,119.17,Industria
2024-12-01,Sur,5332.31,9.72,3.63,125.15,117.69,Servicios
2024-01-01,Occidente,5067.52,10.07,2.37,175.1,114.57,Industria
2020-03-01,Sur,5645.38,11.74,0.28,336.86,115.88,Agricultura
2020-12-01,Occidente,3241.26,8.31,1.62,173.06,110.76,Agricultura
2022-05-01,Occidente,6502.36,8.36,2.73,207.41,74.45,Agricultura
2022-04-01,Sur,4944.45,9.05,4.88,-6.74,98.66,Servicios
2023-05-01,Norte,3695.53,4.83,-0.23,266.97,105.5,Agricultura
2023-05-01,Norte,4060.12,6.0,1.07,193.73,114.33,Agricultura
2022-03-01,Sur,4014.27,6.12,-0.75,250.4,92.05,Agricultura
2023-09-01,Oriente,4207.13,5.95,-0.47,189.3,84.47,Servicios
2020-02-01,Norte,4446.35,9.54,3.14,80.21,89.5,Servicios
2021-09-01,Norte,5213.98,13.61,4.53,188.77,96.69,Industria
2024-09-01,Centro,5614.17,6.03,0.26,275.75,95.87,Industria
2021-01-01,Sur,2698.08,10.8,1.21,364.5,96.26,Industria
2020-06-01,Centro,5576.56,9.63,2.19,231.13,98.08,Servicios
2021-11-01,Norte,4044.46,9.86,0.45,124.36,78.67,Industria
2024-07-01,Occidente,4353.43,5.32,4.34,91.85,125.31,Servicios
2021-04-01,Centro,5881.64,12.68,1.99,207.74,87.08,Agricultura
2023-01-01,Centro,6523.12,8.75,-0.23,253.89,86.87,Servicios
2022-07-01,Centro,3617.2,11.11,2.42,60.14,108.44,Industria
2021-12-01,Norte,4349.36,6.05,0.71,151.29,100.73,Industria
2020-08-01,Centro,4169.05,8.51,4.89,176.11,86.39,Agricultura
2023-06-01,Sur,4423.23,5.88,3.01,275.54,101.49,Agricultura
2021-01-01,Centro,5751.39,10.29,0.68,133.74,108.56,Industria
2022-05-01,Norte,4236.74,9.58,0.45,19.51,103.9,Industria
2022-11-01,Occidente,4095.68,7.17,2.49,193.39,81.83,Industria
2024-06-01,Norte,4348.16,7.7,-0.19,204.74,115.09,Agricultura
2022-03-01,Occidente,4423.11,6.8,3.09,252.98,121.62,Industria
2020-02-01,Occidente,2528.36,7.84,4.58,120.31,105.57,Industria
2022-12-01,Sur,4396.01,14.32,0.09,208.66,97.66,Industria
2024-09-01,Norte,6167.78,5.54,3.77,225.44,92.69,Industria
2024-04-01,Sur,4567.44,5.81,3.89,228.98,131.13,Agricultura
2023-01-01,Occidente,5871.12,8.32,3.9,167.4,69.43,Servicios
2021-06-01,Oriente,3991.91,9.09,0.81,201.84,125.15,Agricultura
2022-10-01,Sur,5326.93,8.22,2.26,178.09,103.53,Servicios
2020-12-01,Sur,5770.87,5.29,4.64,52.14,117.16,Servicios
2022-11-01,Oriente,5338.5,10.82,2.2,158.47,102.73,Industria
2023-12-01,Sur,5248.22,5.67,0.87,283.03,87.16,Servicios
2021-04-01,Oriente,5071.57,12.39,4.26,152.23,115.56,Servicios
2023-11-01,Centro,4489.98,5.22,4.08,173.01,85.32,Servicios
2024-05-01,Oriente,4555.71,6.52,3.33,237.73,113.04,Servicios
2020-05-01,Sur,6355.64,11.63,2.26,122.62,81.33,Agricultura
2023-10-01,Occidente,3221.28,9.08,4.68,349.6,104.2,Servicios
2022-08-01,Oriente,3874.51,9.56,2.67,210.94,110.89,Industria
2021-09-01,Oriente,5481.01,11.78,-0.08,222.39,128.23,Servicios
2021-11-01,Norte,6345.42,8.67,3.42,101.04,98.11,Industria
2024-11-01,Occidente,5055.72,10.5,1.39,309.42,97.63,Industria
2020-04-01,Sur,4573.12,12.83,-0.97,98.79,75.18,Agricultura
2021-03-01,Norte,5823.17,7.81,1.08,207.33,94.96,Agricultura
2021-08-01,Occidente,6669.02,6.47,1.71,175.43,95.91,Agricultura
2023-07-01,Occidente,2303.11,14.06,1.17,194.57,127.73,Agricultura
2023-08-01,Oriente,6126.57,4.14,2.98,173.11,83.4,Agricultura
2021-11-01,Norte,7573.36,4.74,3.5,205.92,102.97,Agricultura
2023-04-01,Centro,4855.64,6.26,0.14,196.72,91.85,Servicios
2024-08-01,Norte,4287.15,12.53,1.72,210.64,60.24,Servicios
2021-02-01,Oriente,6091.51,8.41,2.36,165.73,94.43,Agricultura
2023-11-01,Occidente,3592.49,11.08,1.45,122.22,114.04,Servicios
2024-06-01,Oriente,6271.56,4.3,0.33,272.17,83.06,Servicios
2024-07-01,Occidente,4475.48,11.18,0.43,248.94,96.4,Industria
2021-12-01,Oriente,4625.18,11.94,4.13,163.9,117.39,Industria
2022-04-01,Sur,3918.94,7.22,4.38,261.59,104.89,Servicios
2023-11-01,Centro,3748.89,8.64,4.36,147.73,115.74,Industria
2023-02-01,Sur,4295.66,10.49,0.61,59.15,80.79,Agricultura
2022-06-01,Sur,6754.79,10.07,1.62,221.1,98.55,Servicios
2020-03-01,Centro,4455.08,13.55,1.92,239.91,101.71,Agricultura
2023-12-01,Centro,5150.3,8.68,-0.87,230.78,74.35,Servicios
2021-02-01,Oriente,3651.81,5.53,4.01,274.33,100.28,Industria
2022-09-01,Oriente,5347.58,5.89,0.63,219.58,85.32,Industria
2020-04-01,Oriente,5408.25,11.17,3.98,29.74,103.84,Industria
2024-12-01,Norte,5982.69,10.61,2.99,15.91,80.81,Servicios
2023-08-01,Norte,4375.18,5.83,3.43,202.61,102.8,Industria
2022-07-01,Oriente,4244.62,6.7,1.34,107.68,79.72,Servicios
2024-10-01,Centro,4024.13,10.23,1.86,305.36,107.4,Industria
2021-05-01,Oriente,5184.84,12.06,0.29,142.44,101.83,Industria
2020-07-01,Sur,7560.08,7.68,3.63,190.39,99.48,Servicios
2023-12-01,Centro,6770.8,11.57,1.61,270.78,91.56,Industria
2021-10-01,Occidente,5632.41,6.99,2.54,297.26,89.09,Agricultura
2023-10-01,Occidente,4752.48,14.09,-0.18,192.56,109.31,Servicios
2020-02-01,Oriente,5177.7,13.6,3.39,66.47,108.4,Agricultura
2023-03-01,Norte,6080.78,11.62,4.1,192.98,75.09,Industria
2023-06-01,Centro,5429.62,5.99,2.41,220.77,83.78,Industria
2022-06-01,Oriente,6053.15,14.17,4.83,196.04,110.22,Industria
2023-05-01,Norte,5028.32,7.51,3.97,202.98,101.44,Industria
2020-12-01,Occidente,4537.72,6.53,-0.28,222.21,92.82,Agricultura
2022-04-01,Norte,6255.76,4.72,0.89,110.54,121.7,Servicios
2020-01-01,Centro,5196.55,7.51,2.76,226.71,113.34,Agricultura
2020-10-01,Centro,5082.28,14.33,3.79,306.55,92.24,Agricultura
2021-08-01,Norte,6409.35,9.28,2.77,155.45,121.8,Servicios
2021-08-01,Sur,6579.57,6.63,-0.34,147.71,79.83,Industria
2021-10-01,Occidente,4081.35,7.26,0.4,196.53,103.51,Servicios
2020-03-01,Sur,6550.5,6.4,4.7,100.16,114.76,Agricultura
2024-01-01,Sur,4786.01,14.39,1.8,87.73,105.74,Servicios
2023-07-01,Centro,5166.45,10.69,2.08,249.25,90.43,Agricultura
2024-12-01,Centro,4469.0,6.43,0.12,136.26,117.84,Agricultura
2022-11-01,Occidente,6420.5,11.66,-0.08,142.93,91.72,Agricultura
2024-01-01,Sur,5632.93,6.46,2.22,354.75,126.94,Servicios
2023-11-01,Sur,4387.21,13.78,4.73,161.23,104.29,Agricultura
2024-11-01,Sur,5334.46,11.21,2.31,182.31,88.03,Agricultura
2023-08-01,Norte,3620.68,11.96,1.98,126.91,92.24,Industria
2022-11-01,Oriente,5223.79,13.36,1.97,452.69,92.04,Servicios
2021-07-01,Centro,4510.56,11.46,2.39,304.42,108.76,Servicios
2024-11-01,Sur,4640.71,12.77,2.95,282.05,107.61,Servicios
2024-08-01,Oriente,6066.67,10.8,3.52,316.93,97.49,Industria
2024-05-01,Sur,5146.71,7.69,3.46,236.87,94.1,Agricultura
2020-05-01,Oriente,5028.74,4.07,0.72,327.85,102.87,Agricultura
2023-10-01,Occidente,5046.44,10.95,0.56,264.55,132.45,Servicios
2023-06-01,Norte,4692.22,12.37,2.25,221.92,98.57,Industria
2022-03-01,Oriente,5279.02,10.96,4.59,155.36,102.91,Agricultura
2022-05-01,Sur,6073.63,4.74,2.49,97.35,117.93,Industria
2024-12-01,Sur,3476.81,4.5,4.23,144.11,105.66,Servicios
2020-09-01,Centro,6565.52,11.52,1.68,193.42,78.28,Agricultura
2021-12-01,Oriente,2801.19,5.8,3.77,97.88,110.63,Industria
2024-04-01,Oriente,5243.8,11.2,0.64,143.59,109.75,Servicios
2023-08-01,Norte,4900.82,8.62,2.83,47.45,89.62,Agricultura
2022-04-01,Oriente,4954.41,13.84,0.38,224.33,81.23,Servicios
2021-05-01,Occidente,6443.76,13.51,1.84,234.27,106.85,Industria
2023-09-01,Occidente,5569.77,12.37,2.76,244.77,102.95,Industria
2023-12-01,Occidente,5709.0,12.76,1.89,132.36,127.01,Industria
2022-12-01,Oriente,4959.84,4.71,2.49,56.92,112.61,Industria
2022-05-01,Centro,4347.38,7.41,1.73,154.77,63.64,Agricultura
2021-06-01,Norte,3416.1,11.64,4.16,276.04,85.5,Servicios
2024-12-01,Centro,4952.29,6.66,4.92,199.64,82.62,Agricultura
2021-12-01,Oriente,6503.4,10.16,-0.94,287.74,103.13,Industria
2024-09-01,Occidente,2958.27,4.97,1.1,99.84,95.78,Industria
2020-04-01,Sur,6797.69,12.81,0.2,264.08,120.99,Agricultura
2022-03-01,Sur,5924.63,4.35,4.62,205.96,90.3,Agricultura
2024-03-01,Sur,5698.22,11.85,3.81,239.35,115.74,Agricultura
2020-09-01,Sur,4464.76,4.88,4.37,331.74,102.96,Servicios
2021-11-01,Oriente,7075.26,9.79,3.39,131.08,90.23,Agricultura
2020-10-01,Sur,4516.11,13.59,0.32,252.28,91.39,Industria
2023-08-01,Sur,4975.65,10.11,3.32,414.23,100.57,Agricultura
2020-05-01,Oriente,5120.03,6.19,3.08,174.26,74.97,Agricultura
2020-07-01,Oriente,5399.22,12.17,1.55,264.72,81.61,Agricultura
2024-11-01,Norte,3535.63,14.86,-0.76,222.45,115.71,Agricultura
2021-10-01,Sur,6683.93,9.35,4.24,154.11,97.41,Agricultura
2021-02-01,Occidente,5883.66,7.05,2.55,347.65,120.7,Industria
2024-10-01,Occidente,4374.44,11.87,4.45,239.58,91.75,Agricultura
2024-07-01,Oriente,4328.38,14.69,0.09,197.44,117.59,Industria
2022-10-01,Oriente,5543.6,8.9,2.09,162.94,117.23,Industria
2024-10-01,Norte,3260.29,5.8,1.35,70.53,117.41,Servicios
2020-04-01,Centro,4532.3,14.67,1.72,234.65,101.15,Industria
2020-03-01,Centro,3717.01,7.71,3.97,44.34,93.58,Agricultura
2024-02-01,Centro,6500.76,5.84,0.01,285.02,95.18,Agricultura
2023-08-01,Occidente,7076.75,13.29,3.83,303.03,103.58,Industria
2022-01-01,Centro,4740.96,6.97,-0.66,180.37,110.91,Industria
2022-12-01,Oriente,5051.95,4.43,-0.27,273.26,98.79,Agricultura
2021-05-01,Occidente,5078.64,4.46,-0.11,0.18,113.74,Servicios
2021-07-01,Norte,5346.49,9.0,2.09,408.84,97.91,Servicios
2021-11-01,Centro,6108.18,6.22,3.04,96.01,90.64,Industria
2021-02-01,Norte,6914.03,13.55,0.06,287.01,107.44,Agricultura
2022-10-01,Occidente,5150.42,9.47,2.71,236.5,103.02,Industria
2023-02-01,Oriente,6050.65,4.33,4.59,310.55,117.81,Servicios
2022-12-01,Oriente,5638.73,8.33,2.91,85.7,104.54,Industria
2024-09-01,Oriente,4245.72,14.99,-0.71,193.59,104.93,Industria
2020-10-01,Norte,5321.36,10.24,3.43,242.19,96.34,Industria
2022-10-01,Sur,5964.09,7.6,3.01,259.74,110.52,Agricultura
2020-04-01,Occidente,4702.44,13.0,-0.28,337.57,97.4,Servicios
2020-11-01,Sur,5015.58,7.57,1.2,359.45,87.3,Servicios
2020-03-01,Oriente,4008.61,6.61,1.24,-15.34,124.63,Servicios
2023-05-01,Centro,6009.82,10.81,1.78,298.18,95.13,Servicios
2023-11-01,Oriente,2500.59,4.28,1.05,429.09,79.16,Agricultura
2023-06-01,Oriente,3354.6,10.38,2.2,338.43,108.46,Industria
2022-11-01,Norte,5594.75,14.51,-0.89,285.34,111.38,Agricultura
2022-07-01,Oriente,5281.19,6.68,4.56,124.6,95.79,Industria
2023-09-01,Norte,3307.04,7.13,0.84,190.17,102.7,Industria
2020-06-01,Sur,6392.0,7.42,2.66,101.04,114.11,Industria
2020-07-01,Occidente,4017.51,5.99,3.09,177.54,101.58,Agricultura
2024-08-01,Oriente,3665.97,11.8,-0.36,40.7,106.61,Agricultura
2021-09-01,Sur,4980.36,12.87,2.3,255.25,101.88,Servicios
2023-11-01,Oriente,4570.59,14.47,2.61,204.89,100.61,Agricultura
2021-05-01,Occidente,4298.01,10.72,1.47,133.71,81.34,Agricultura
2022-08-01,Oriente,4307.09,12.59,0.65,170.51,118.72,Agricultura
2020-11-01,Occidente,4326.51,10.86,1.71,227.9,82.19,Agricultura
2021-05-01,Occidente,5309.82,12.11,4.18,181.47,98.05,Agricultura
2024-07-01,Norte,5043.81,10.68,2.28,185.3,91.64,Agricultura
2020-08-01,Norte,3630.2,10.54,1.98,119.63,124.59,Servicios
2021-08-01,Sur,6677.7,11.62,4.95,144.64,108.53,Servicios
2022-07-01,Oriente,6628.4,7.02,-0.52,141.83,84.78,Industria
2021-08-01,Occidente,4350.72,4.76,2.11,77.61,103.51,Agricultura
2023-04-01,Occidente,3444.1,13.68,2.91,0.63,105.61,Servicios
2021-02-01,Sur,6227.67,14.94,2.97,79.04,125.09,Industria
2022-09-01,Sur,5419.02,9.12,-0.64,255.83,101.14,Agricultura
2022-12-01,Sur,5538.76,6.21,2.21,107.93,98.33,Servicios
2024-11-01,Oriente,4096.09,12.32,1.09,309.13,109.14,Agricultura
2023-09-01,Oriente,3907.69,14.92,4.56,168.36,118.2,Industria
2022-09-01,Occidente,5141.72,9.73,2.74,219.2,95.36,Industria
2023-06-01,Centro,5133.54,12.6,3.25,184.75,88.21,Servicios
2021-10-01,Oriente,3668.77,4.96,4.62,16.38,107.62,Agricultura
2023-01-01,Sur,3896.63,10.61,2.09,-15.29,99.91,Servicios
2023-12-01,Oriente,5838.49,14.91,4.11,208.18,98.52,Industria
2021-08-01,Norte,5919.08,13.55,3.84,170.97,89.98,Agricultura
2024-10-01,Sur,5992.04,4.89,1.42,253.65,86.52,Agricultura
2023-02-01,Occidente,5028.18,11.05,3.93,199.09,99.62,Industria
2020-12-01,Centro,5817.77,10.67,3.59,201.04,80.32,Industria
2021-02-01,Oriente,3934.89,8.04,-0.59,169.48,100.85,Industria
2022-10-01,Oriente,5529.69,14.62,1.59,206.45,70.37,Servicios
2020-06-01,Occidente,4060.66,11.05,0.3,185.59,122.96,Industria
2022-11-01,Oriente,6218.76,5.67,-0.63,178.66,122.36,Servicios
2020-10-01,Norte,5148.67,14.82,0.44,166.29,90.8,Agricultura
2022-04-01,Norte,4697.53,11.61,-0.63,216.06,100.05,Industria
2020-11-01,Norte,5436.94,7.37,2.74,319.06,61.69,Industria
2021-12-01,Sur,5934.32,5.44,4.32,63.31,96.63,Agricultura
2020-06-01,Norte,3829.89,13.1,3.4,19.8,91.35,Industria
2022-06-01,Oriente,2408.96,4.21,0.56,145.38,105.88,Agricultura
2021-09-01,Oriente,3521.09,4.13,0.45,218.34,99.77,Servicios
2021-03-01,Centro,5579.29,5.21,2.29,319.66,97.62,Agricultura
2024-07-01,Occidente,4972.7,5.65,0.95,106.67,97.41,Servicios
2021-08-01,Occidente,6711.71,8.13,1.37,347.12,96.86,Agricultura
2021-08-01,Sur,4330.93,11.57,1.63,303.99,110.17,Industria
2022-11-01,Norte,4512.09,4.42,4.41,415.73,90.91,Industria
2022-11-01,Occidente,5742.1,11.0,2.68,229.93,100.48,Agricultura
2020-08-01,Sur,4246.58,5.65,3.42,401.34,102.05,Servicios
2022-11-01,Oriente,4634.68,4.78,-0.93,218.47,79.79,Servicios
2022-08-01,Sur,4028.39,7.85,3.65,95.31,108.05,Agricultura
2023-08-01,Norte,6185.7,6.92,-0.87,271.9,114.94,Agricultura
2023-10-01,Sur,4243.2,10.87,1.29,167.73,96.24,Servicios
2022-12-01,Sur,6328.19,11.08,2.18,255.62,90.35,Agricultura
2023-05-01,Norte,5927.84,14.78,2.61,352.85,107.62,Servicios
2020-10-01,Oriente,5538.3,5.41,1.03,307.25,84.33,Industria
2021-10-01,Sur,3033.64,8.83,2.68,177.87,95.85,Agricultura
2021-10-01,Sur,5307.41,7.14,3.9,281.57,97.49,Servicios
2021-11-01,Norte,5282.58,12.31,1.76,249.1,111.02,Servicios
2020-05-01,Oriente,5662.88,5.95,2.27,317.35,106.0,Agricultura
2024-06-01,Centro,4348.64,13.0,0.28,323.83,100.32,Agricultura
2022-06-01,Oriente,5308.83,10.49,2.05,370.22,108.48,Agricultura
2021-03-01,Occidente,3239.24,11.58,4.24,328.98,110.1,Industria
2024-09-01,Sur,4861.54,4.1,0.48,77.57,96.86,Agricultura
2022-08-01,Sur,4149.48,12.8,0.22,366.99,105.92,Servicios
2022-02-01,Oriente,3804.12,7.91,3.7,244.46,97.99,Agricultura
2021-04-01,Oriente,5014.69,12.37,-0.79,121.51,109.72,Servicios
2022-02-01,Oriente,4879.05,7.6,-0.11,241.95,110.84,Agricultura
2022-09-01,Norte,4627.17,14.96,1.21,372.7,94.01,Industria
2022-11-01,Sur,5224.68,8.31,1.48,293.26,77.12,Servicios
2023-11-01,Sur,6262.58,12.74,-0.44,144.81,138.37,Agricultura
2021-08-01,Norte,4435.75,10.38,2.37,218.46,130.92,Servicios
2024-06-01,Occidente,6208.37,11.44,3.83,277.84,91.73,Agricultura
2020-11-01,Oriente,4181.8,4.64,1.01,199.66,110.45,Servicios
2022-11-01,Oriente,5955.31,12.67,2.1,85.83,97.1,Agricultura
2021-01-01,Norte,4283.18,4.97,0.32,13.35,122.7,Industria
2023-02-01,Norte,5630.81,14.98,4.6,97.58,127.81,Agricultura
2024-03-01,Oriente,6221.03,5.3,1.46,258.21,94.42,Industria
2022-11-01,Occidente,6088.75,10.29,2.53,151.12,83.21,Industria
2024-12-01,Centro,5140.89,7.29,4.64,23.16,93.01,Industria
2020-08-01,Occidente,3405.3,13.6,4.05,251.36,92.01,Industria
2022-01-01,Sur,3830.08,5.47,-0.52,-87.23,99.59,Agricultura
2023-08-01,Centro,6772.25,8.81,3.38,139.78,107.03,Industria
2020-11-01,Sur,4001.61,12.27,2.94,230.18,98.5,Servicios
2022-01-01,Oriente,4796.33,6.88,0.48,177.35,105.51,Industria
2021-02-01,Oriente,5913.58,8.95,3.66,119.68,99.68,Agricultura
2021-11-01,Occidente,4252.79,4.37,-0.62,-42.42,113.26,Agricultura
2020-06-01,Centro,5736.84,4.24,2.98,171.87,101.0,Agricultura
2024-04-01,Norte,5515.94,14.31,-0.69,43.75,92.06,Servicios
2021-10-01,Centro,5794.26,6.18,2.39,74.57,107.0,Agricultura
2022-03-01,Occidente,4964.36,10.69,1.1,126.54,87.85,Agricultura
2022-03-01,Centro,5200.57,9.76,-0.31,314.86,106.43,Servicios
2022-03-01,Norte,5693.11,4.74,3.25,117.24,101.29,Servicios
2020-03-01,Norte,3927.86,5.82,4.67,-92.14,106.55,Industria
2021-10-01,Sur,5903.93,9.09,1.47,261.92,130.86,Agricultura
2021-05-01,Norte,5020.79,12.87,1.76,127.2,90.31,Agricultura
2023-09-01,Norte,4200.81,5.81,0.98,212.27,124.37,Servicios
2020-08-01,Oriente,5323.08,13.68,4.22,174.76,95.62,Industria
2024-10-01,Norte,3436.81,14.83,3.63,288.31,98.83,Industria
2024-04-01,Occidente,4819.52,5.16,2.94,519.31,93.6,Agricultura
2024-05-01,Oriente,6148.45,12.53,4.79,211.33,78.43,Servicios
2020-01-01,Oriente,5919.23,10.35,2.81,133.19,93.29,Industria
2023-11-01,Norte,6281.02,14.07,2.2,248.47,87.3,Industria
2023-02-01,Norte,4356.45,13.43,4.44,303.0,94.98,Industria
2024-03-01,Norte,4596.35,6.03,4.36,104.49,106.35,Agricultura
2022-10-01,Occidente,7062.52,4.92,4.29,93.25,100.36,Servicios
2022-07-01,Occidente,6412.22,14.64,1.51,93.76,106.42,Servicios
2022-08-01,Occidente,4812.86,5.78,-0.92,298.57,117.81,Servicios
2023-02-01,Norte,7589.56,11.91,4.34,219.44,94.7,Servicios
2024-12-01,Centro,5338.48,13.01,2.24,170.46,84.9,Industria
2023-04-01,Oriente,6139.88,9.18,3.93,-12.19,90.88,Industria
2023-07-01,Oriente,6296.99,7.69,0.04,197.71,112.61,Servicios
2020-06-01,Oriente,5546.73,5.11,0.44,160.82,86.16,Industria
2022-06-01,Centro,6615.38,11.16,2.73,167.77,114.97,Servicios
