Año,Departamento,Institución,Matrícula_Inicial,Matrícula_Final,Tasa_Deserción,Causa_Probable,Estrato_Promedio,Distancia_Promedio_Km
2021,Nariño,"Wilson, Johnson and Cox Rural",271,256,0.054,Migración,2.5,13.8
2021,Casanare,Gibson LLC Rural,56,46,0.177,Migración,2.1,0.74
2022,Casanare,"Anderson, Davenport and Gibson Rural",255,239,0.061,Migración,1.4,12.93
2020,Casanare,"Cruz, Raymond and Boyd Rural",273,250,0.084,Económica,2.3,10.49
2021,Nariño,Blair LLC Rural,259,222,0.141,Acceso,1.5,8.5
2021,Nariño,"Stark, Neal and Bishop Rural",56,53,0.038,Migración,1.6,4.05
2022,Cauca,Williams Inc Rural,297,291,0.02,Trabajo infantil,1.5,0.49
2024,Casanare,Cameron LLC Rural,223,198,0.109,Otro,1.5,11.38
2020,Cauca,Estrada-Jones Rural,274,243,0.113,Trabajo infantil,1.3,2.07
2022,Amazonas,Collins and Sons Rural,77,66,0.139,Otro,1.7,2.15
2022,Casanare,Tapia-Hernandez Rural,205,179,0.126,Otro,1.2,10.91
2024,Nariño,Mcpherson-Hill Rural,115,101,0.115,Económica,2.1,7.57
2020,Guaviare,Arias Group Rural,286,267,0.066,Otro,2.0,0.88
2021,Putumayo,"Smith, Clark and Collier Rural",160,142,0.112,Económica,2.4,11.44
2022,Putumayo,"Nolan, Potter and Cline Rural",219,193,0.115,Económica,2.1,0.03
2022,Guaviare,"Lee, English and Hunt Rural",129,120,0.064,Acceso,1.5,0.88
2022,Guaviare,Jackson-Hernandez Rural,82,66,0.193,Migración,1.6,5.28
2023,La Guajira,Martin Ltd Rural,207,181,0.124,Otro,1.5,1.27
2024,Amazonas,Stout-Tanner Rural,127,120,0.051,Trabajo infantil,1.3,1.97
2024,Putumayo,Reese-Small Rural,169,145,0.139,Acceso,1.7,6.86
2021,Guaviare,"Paul, Marshall and Young Rural",171,145,0.148,Migración,2.0,5.36
2022,Guaviare,Brewer Group Rural,219,192,0.121,Otro,1.5,4.2
2021,Chocó,Grant-Evans Rural,107,97,0.088,Migración,1.2,1.54
2020,Nariño,Costa PLC Rural,171,160,0.062,Otro,2.3,1.4
2020,Meta,Campbell-Mendoza Rural,156,141,0.096,Otro,1.3,11.13
2023,Meta,Olsen Group Rural,152,134,0.117,Migración,1.2,4.99
2020,Cauca,Baker-Davis Rural,249,223,0.101,Acceso,1.3,4.3
2024,Meta,Gibbs Inc Rural,62,51,0.173,Otro,1.4,3.39
2020,Meta,"Rodriguez, Nixon and Sweeney Rural",84,72,0.131,Acceso,2.0,1.65
2024,Putumayo,Morgan LLC Rural,293,276,0.057,Acceso,1.9,0.12
2024,Casanare,Hansen and Sons Rural,262,249,0.046,Otro,1.7,14.11
2021,Meta,"Huerta, Mccullough and Harrell Rural",165,144,0.124,Trabajo infantil,2.1,15.39
2022,Guaviare,"Petty, Garrett and Jacobs Rural",174,158,0.089,Migración,1.4,0.08
2020,Chocó,Shea-Smith Rural,110,95,0.136,Trabajo infantil,1.5,13.18
2024,Cauca,Bryant Group Rural,85,74,0.124,Migración,1.3,16.57
2021,Nariño,"Chen, Baldwin and Petersen Rural",66,59,0.096,Acceso,1.6,9.59
2024,Meta,House-Jennings Rural,156,146,0.058,Económica,1.3,9.52
2023,Casanare,Young and Sons Rural,281,274,0.024,Otro,2.4,1.91
2020,Casanare,Mcdonald Group Rural,172,152,0.111,Económica,2.4,13.76
2022,Casanare,Macias Group Rural,268,257,0.038,Acceso,1.8,5.95
2024,Nariño,"Jackson, Gonzalez and Evans Rural",174,164,0.056,Migración,1.4,4.77
2023,Amazonas,"Brown, Davis and Rivera Rural",149,132,0.108,Trabajo infantil,2.0,23.05
2023,La Guajira,Perez Group Rural,265,237,0.103,Acceso,2.4,10.49
2024,Guaviare,Ballard Inc Rural,56,53,0.043,Acceso,1.9,6.75
2020,Cauca,Russo-Obrien Rural,214,181,0.154,Acceso,1.2,2.23
2023,La Guajira,Robinson-Gray Rural,62,52,0.153,Trabajo infantil,1.6,1.74
2021,Meta,Griffin-Bell Rural,133,116,0.126,Trabajo infantil,2.1,10.09
2023,Chocó,Ford-Campbell Rural,242,211,0.126,Acceso,1.4,12.22
2020,Meta,"Young, Mills and Jones Rural",54,47,0.126,Otro,1.1,8.0
2022,Nariño,Myers-Johnson Rural,216,152,0.293,Económica,2.2,5.25
2020,Amazonas,West-Oliver Rural,293,249,0.148,Migración,1.3,11.04
2020,La Guajira,Fernandez-Anderson Rural,111,96,0.133,Migración,1.7,2.06
2020,Nariño,Hartman-Jordan Rural,169,158,0.061,Trabajo infantil,2.2,4.32
2021,Cauca,Chavez LLC Rural,249,227,0.088,Migración,2.4,0.18
2020,Amazonas,Ward LLC Rural,287,225,0.216,Trabajo infantil,1.9,1.69
2023,Casanare,Smith-Garcia Rural,291,288,0.007,Migración,1.1,4.47
2021,Cauca,Keller PLC Rural,228,210,0.076,Trabajo infantil,2.3,0.68
2024,Cauca,Walls-Thomas Rural,253,214,0.154,Otro,2.2,3.69
2022,Guaviare,Mejia-Payne Rural,159,148,0.064,Trabajo infantil,1.1,4.88
2022,Amazonas,"Williams, Gonzalez and Taylor Rural",267,231,0.134,Acceso,2.2,0.45
2020,Casanare,Harris Inc Rural,295,264,0.102,Trabajo infantil,2.0,3.89
2023,La Guajira,Johnson LLC Rural,161,150,0.067,Migración,2.1,5.07
2022,Guaviare,Maldonado Group Rural,248,248,0.0,Acceso,1.7,7.93
2024,Chocó,Osborne-Lopez Rural,132,117,0.109,Migración,2.2,1.58
2020,Chocó,Ford Ltd Rural,275,258,0.06,Acceso,1.4,0.13
2023,Casanare,"Gonzalez, Vazquez and Melton Rural",136,123,0.094,Económica,1.7,16.44
2022,La Guajira,Smith-Goodman Rural,174,152,0.125,Migración,1.5,2.63
2022,Putumayo,Gross Ltd Rural,121,103,0.143,Otro,2.1,0.95
2022,Guaviare,Barnes-Rogers Rural,52,48,0.076,Otro,2.4,3.98
2020,Nariño,Kim and Sons Rural,234,218,0.067,Acceso,1.7,6.27
2021,Meta,"Johnston, Howard and Fisher Rural",215,207,0.037,Acceso,1.7,15.49
2020,Cauca,White-Ross Rural,125,106,0.146,Migración,1.6,6.7
2021,Chocó,"Lyons, Nichols and Jimenez Rural",219,173,0.206,Otro,1.6,2.72
2024,Guaviare,"Lee, Harris and Green Rural",138,117,0.152,Acceso,2.5,1.42
2024,Putumayo,"Mendez, Barnes and Gordon Rural",140,117,0.163,Acceso,1.4,0.07
2022,Nariño,"Nichols, Velazquez and Alvarez Rural",80,74,0.065,Migración,1.5,0.62
2024,La Guajira,Taylor and Sons Rural,99,86,0.122,Migración,2.1,3.21
2022,Guaviare,"Barnes, Kelly and Johnson Rural",202,173,0.139,Trabajo infantil,2.5,0.51
2021,Chocó,"Oneill, White and Green Rural",108,108,0.0,Trabajo infantil,1.3,0.95
2020,Guaviare,"Clay, Chambers and White Rural",82,77,0.049,Trabajo infantil,1.1,2.84
2020,Guaviare,Campbell-King Rural,124,101,0.182,Migración,2.0,5.04
2023,Cauca,Conner PLC Rural,273,265,0.028,Económica,1.9,0.23
2023,Meta,"Ferguson, Simmons and Reyes Rural",162,134,0.172,Trabajo infantil,1.3,3.5
2020,Chocó,Stevens Ltd Rural,290,281,0.028,Acceso,1.2,9.71
2020,Casanare,Good-Salinas Rural,175,166,0.051,Económica,1.9,0.37
2020,La Guajira,Cannon-Holden Rural,88,77,0.123,Otro,2.4,5.14
2020,Nariño,"Washington, Cook and Ramos Rural",80,71,0.103,Otro,2.1,14.09
2024,Nariño,Johnston-Williams Rural,248,227,0.081,Otro,1.6,4.28
2023,Chocó,Lee and Sons Rural,270,221,0.179,Otro,2.5,3.06
2022,Amazonas,"Melendez, Bauer and Adams Rural",206,198,0.038,Económica,2.4,3.94
2021,Nariño,Brown Inc Rural,117,106,0.092,Económica,1.2,16.25
2021,Guaviare,Smith-Lowery Rural,69,60,0.129,Migración,1.0,11.79
2023,Meta,Webb and Sons Rural,124,109,0.114,Económica,1.3,0.37
2022,Meta,Lara and Sons Rural,68,63,0.069,Migración,2.4,1.92
2024,Nariño,"Jones, Russell and Burch Rural",158,146,0.071,Económica,1.8,0.63
2021,Chocó,Kelly Ltd Rural,261,223,0.142,Migración,1.1,5.97
2021,Chocó,Howard LLC Rural,202,172,0.145,Otro,2.4,6.64
2023,Cauca,"Miller, Ramirez and Villanueva Rural",169,149,0.115,Trabajo infantil,2.0,8.13
2022,Guaviare,"Page, Wilson and Fuller Rural",188,176,0.059,Acceso,1.7,6.94
2024,Amazonas,"Williams, Costa and Franklin Rural",277,257,0.072,Acceso,2.1,8.22
2024,Chocó,"Frederick, Williamson and Gomez Rural",56,50,0.099,Económica,1.3,2.33
2024,Amazonas,Black LLC Rural,245,219,0.106,Trabajo infantil,1.9,7.49
2021,Meta,Barton-Lang Rural,182,158,0.127,Acceso,2.4,9.77
2021,Casanare,Simon-Carrillo Rural,212,192,0.09,Acceso,2.5,2.8
2023,Putumayo,Carroll Group Rural,154,132,0.141,Trabajo infantil,1.5,0.54
2020,La Guajira,Kim-Haynes Rural,134,115,0.141,Acceso,2.0,11.64
2022,Casanare,Yang-Williams Rural,258,215,0.165,Otro,1.1,1.93
2020,Putumayo,Jennings LLC Rural,114,102,0.101,Trabajo infantil,1.2,11.29
2023,Guaviare,Wilson-Chambers Rural,261,230,0.116,Económica,2.0,15.04
2024,Meta,"Edwards, Perkins and Ramos Rural",155,140,0.093,Económica,1.3,4.26
2022,Meta,"Hall, Parrish and Barnett Rural",210,197,0.059,Acceso,2.1,1.74
2021,Chocó,Curry Inc Rural,190,151,0.205,Migración,2.4,1.99
2023,Meta,Davis-Weber Rural,81,68,0.158,Económica,2.5,7.84
2024,Nariño,"White, Thompson and Cortez Rural",231,198,0.14,Migración,1.5,7.79
2020,Guaviare,"Payne, Davis and Sutton Rural",154,138,0.099,Económica,1.3,0.3
2020,Meta,Decker-Castillo Rural,292,275,0.055,Económica,2.0,3.99
2021,Meta,Burns-Henry Rural,288,245,0.149,Trabajo infantil,1.8,2.16
2022,Casanare,Harvey-Nichols Rural,263,238,0.093,Acceso,2.5,0.62
2021,Meta,Fitzpatrick-Simmons Rural,191,167,0.121,Migración,1.6,4.81
2024,Guaviare,"Lopez, Taylor and Barnes Rural",241,223,0.072,Migración,2.3,0.53
2022,Casanare,"Garner, Johnson and Luna Rural",137,121,0.112,Otro,1.4,0.38
2020,Chocó,Phillips-Sanchez Rural,235,217,0.075,Trabajo infantil,2.3,8.63
2024,Meta,Bowman-Fisher Rural,271,250,0.076,Migración,1.7,0.44
2023,Putumayo,Bowen LLC Rural,135,119,0.112,Otro,2.1,21.58
2023,Meta,"Jones, Harrington and Hayes Rural",288,279,0.028,Trabajo infantil,2.3,8.38
2021,Casanare,Logan-Wise Rural,109,105,0.03,Acceso,1.1,14.71
2023,Casanare,Wolfe-Gray Rural,148,138,0.064,Migración,1.7,7.51
2020,La Guajira,Shah Ltd Rural,178,162,0.089,Otro,1.5,4.09
2020,Meta,Mills-Andersen Rural,75,64,0.143,Otro,2.4,0.59
2020,La Guajira,Santiago-Harris Rural,154,139,0.092,Migración,1.1,3.39
2022,Putumayo,"Rollins, Baldwin and Combs Rural",209,188,0.099,Acceso,2.0,0.29
2022,Guaviare,"Turner, Clark and Levine Rural",147,134,0.086,Trabajo infantil,1.9,0.63
2023,Guaviare,Anderson Inc Rural,59,52,0.116,Otro,1.1,6.85
2022,Nariño,Payne-Henderson Rural,241,226,0.059,Económica,1.7,4.38
2020,Cauca,Murray-Pennington Rural,163,147,0.095,Migración,2.0,1.68
2020,Amazonas,Vasquez and Sons Rural,133,117,0.12,Económica,1.4,10.15
2022,Casanare,Copeland Inc Rural,87,77,0.111,Migración,1.8,0.38
2024,La Guajira,Wilson-Peterson Rural,93,83,0.101,Migración,1.1,4.04
2023,Nariño,Cummings and Sons Rural,177,159,0.101,Otro,1.2,4.96
2023,Chocó,Sanchez-Cooper Rural,167,146,0.125,Trabajo infantil,2.0,5.95
2023,Chocó,"Miller, Proctor and Wright Rural",223,176,0.208,Otro,1.2,4.39
2023,Putumayo,"Sharp, Chandler and Randall Rural",200,187,0.062,Trabajo infantil,2.0,11.57
2023,Chocó,Drake-Wilkerson Rural,166,131,0.209,Trabajo infantil,1.3,1.62
2023,Meta,Haynes LLC Rural,77,72,0.06,Migración,1.6,1.04
2022,Chocó,Blackwell and Sons Rural,229,229,0.0,Trabajo infantil,1.0,4.38
2023,Chocó,Vargas Group Rural,52,48,0.074,Otro,2.3,0.4
2020,Meta,Mayer and Sons Rural,263,232,0.117,Trabajo infantil,2.2,1.85
2021,Putumayo,Lam Inc Rural,106,85,0.194,Migración,1.9,8.4
2021,Cauca,Mcdonald Ltd Rural,281,265,0.055,Económica,1.5,12.09
2023,Amazonas,Choi LLC Rural,198,173,0.125,Trabajo infantil,2.1,8.64
2020,Chocó,"Jordan, Medina and Gordon Rural",133,128,0.034,Acceso,1.3,13.5
2021,Guaviare,Daniel-Schroeder Rural,274,221,0.192,Trabajo infantil,1.8,10.05
2022,La Guajira,"Perez, Keller and Cole Rural",115,96,0.159,Acceso,2.5,21.82
2022,Putumayo,Williams Inc Rural,255,235,0.077,Económica,1.7,0.82
2020,La Guajira,Caldwell-Harris Rural,243,239,0.014,Migración,2.3,17.52
2023,Guaviare,Adams-Cook Rural,143,118,0.168,Económica,2.2,9.23
2020,Chocó,"Ortiz, Clark and Davis Rural",187,169,0.094,Económica,1.7,2.68
2022,Casanare,Valdez-Rivera Rural,260,217,0.162,Trabajo infantil,1.2,1.6
2021,Meta,Howard Ltd Rural,56,50,0.1,Otro,2.3,7.33
2024,Putumayo,"Pineda, Roy and Graves Rural",284,255,0.102,Otro,1.3,14.48
2020,Meta,Conner Inc Rural,282,260,0.077,Trabajo infantil,2.0,2.99
2020,La Guajira,"Chavez, Weiss and Hoover Rural",61,53,0.131,Económica,1.5,0.69
2023,Cauca,Bruce Ltd Rural,74,66,0.106,Migración,2.3,1.3
2021,Casanare,Jones-Murray Rural,166,145,0.126,Trabajo infantil,2.0,5.57
2024,Casanare,Johnson-Alvarez Rural,200,195,0.023,Migración,2.3,0.6
2020,Meta,Henderson-Johnson Rural,207,173,0.164,Acceso,2.4,5.57
2022,Amazonas,"Lawrence, Mccann and Rivers Rural",226,185,0.178,Trabajo infantil,1.3,3.67
2023,Nariño,"Davis, Bennett and Rocha Rural",268,239,0.106,Trabajo infantil,1.1,9.56
2022,Guaviare,Hernandez Inc Rural,280,223,0.203,Trabajo infantil,1.1,10.46
2022,Nariño,Thompson LLC Rural,297,241,0.188,Económica,2.4,2.58
2023,Cauca,"Medina, Price and Nguyen Rural",219,190,0.132,Migración,2.0,6.09
2024,Amazonas,"Brown, Thompson and Martin Rural",62,51,0.168,Trabajo infantil,1.4,1.2
2021,Nariño,"Mcneil, Copeland and Williams Rural",67,56,0.153,Otro,1.3,2.49
2021,Nariño,Singh Group Rural,134,132,0.012,Migración,2.2,2.88
2024,Amazonas,"Trevino, White and Martinez Rural",120,109,0.087,Migración,2.5,3.61
2024,Chocó,"Alvarez, Klein and Rodriguez Rural",254,219,0.136,Migración,1.2,7.65
2020,La Guajira,"Davidson, Le and Lozano Rural",53,43,0.181,Trabajo infantil,2.2,9.92
2021,Putumayo,Martinez Group Rural,54,52,0.031,Migración,1.4,14.93
2021,Casanare,"Robinson, Warner and Brown Rural",184,181,0.015,Económica,2.1,3.07
2023,Meta,Hayes LLC Rural,249,224,0.097,Trabajo infantil,1.8,19.57
2020,Meta,"Berry, Paul and Liu Rural",178,178,0.0,Migración,2.4,5.02
2020,Guaviare,Cooper-Bennett Rural,127,114,0.096,Acceso,2.0,1.37
2020,Amazonas,"Luna, Harvey and Rogers Rural",172,151,0.118,Acceso,1.6,1.0
2020,Meta,Woodard-Molina Rural,232,219,0.053,Acceso,1.1,2.12
2020,Putumayo,"Williams, Hill and Walls Rural",205,185,0.097,Migración,1.1,5.51
2022,Guaviare,Conway Group Rural,232,197,0.148,Trabajo infantil,1.6,0.95
2024,Guaviare,Nguyen PLC Rural,125,115,0.073,Acceso,1.8,0.97
2023,Cauca,Brady-Martinez Rural,253,237,0.06,Económica,2.3,0.46
2024,Nariño,Sheppard-Bradford Rural,160,144,0.095,Acceso,2.3,1.16
2023,Putumayo,Thompson-Lozano Rural,261,248,0.048,Acceso,1.6,2.26
2020,Putumayo,Weeks Ltd Rural,159,127,0.198,Trabajo infantil,2.0,0.2
2022,La Guajira,"Robinson, Miller and Macias Rural",225,202,0.102,Acceso,1.1,8.03
2020,Cauca,Ballard-Mcbride Rural,160,149,0.065,Económica,2.1,10.34
2022,La Guajira,Avila-Walton Rural,192,170,0.111,Económica,1.9,12.68
2024,Guaviare,"Obrien, Marshall and Swanson Rural",134,121,0.094,Económica,1.6,8.2
2023,Amazonas,"Gilbert, Ewing and Perez Rural",297,270,0.089,Trabajo infantil,1.9,6.9
2022,Cauca,Scott-Reeves Rural,197,182,0.073,Otro,1.3,2.31
2023,Nariño,"Rowe, Hayes and Allen Rural",266,247,0.071,Económica,1.5,3.31
2024,Putumayo,Walters-Baker Rural,79,77,0.024,Trabajo infantil,1.9,3.1
2023,Guaviare,Stafford PLC Rural,299,248,0.168,Otro,1.9,6.88
2024,Amazonas,"Beltran, Ingram and Holt Rural",205,178,0.129,Trabajo infantil,1.0,3.58
2022,Chocó,Malone LLC Rural,285,251,0.116,Trabajo infantil,1.5,3.8
2021,La Guajira,Cooper-Sexton Rural,194,175,0.094,Acceso,1.1,3.8
2020,Cauca,Wu-Brown Rural,241,228,0.052,Otro,1.3,1.39
2023,Meta,Moses and Sons Rural,137,128,0.062,Migración,1.6,0.1
2022,Cauca,Yates Group Rural,276,267,0.029,Económica,1.2,1.94
2024,Amazonas,"Cline, Davis and Hill Rural",222,206,0.068,Económica,1.4,0.64
2023,Meta,"Knapp, White and Strong Rural",205,195,0.046,Acceso,1.6,11.06
2021,Guaviare,"Kelly, Murray and Baker Rural",79,64,0.184,Trabajo infantil,1.6,7.78
2022,Meta,Turner LLC Rural,184,157,0.144,Trabajo infantil,1.1,3.45
2023,Amazonas,Ramirez-Robertson Rural,51,45,0.104,Migración,1.5,4.42
2021,La Guajira,Harper-Sanchez Rural,245,231,0.057,Trabajo infantil,1.4,6.84
2020,Amazonas,Carter-Vaughn Rural,177,168,0.048,Acceso,1.3,1.67
2023,Guaviare,"Sims, Smith and Sullivan Rural",230,209,0.09,Migración,1.8,2.26
2022,Cauca,"Murray, Dunn and Brown Rural",151,128,0.146,Económica,1.7,2.2
2023,Cauca,Johnson-Obrien Rural,270,217,0.195,Trabajo infantil,1.9,21.53
2024,Casanare,Ryan-Allen Rural,231,224,0.03,Acceso,1.4,0.54
2023,Amazonas,Williams Ltd Rural,297,258,0.128,Trabajo infantil,1.3,0.83
2024,Meta,Tran-Rowe Rural,262,244,0.067,Trabajo infantil,1.1,1.03
2020,Nariño,"Spears, Coleman and Reyes Rural",161,148,0.076,Otro,1.6,1.68
2020,Casanare,"Bonilla, Brooks and Le Rural",272,244,0.102,Trabajo infantil,2.1,2.64
2021,Putumayo,Anderson LLC Rural,249,234,0.058,Migración,1.1,20.19
2020,Guaviare,Jacobs Inc Rural,180,164,0.088,Migración,2.4,17.45
2022,Putumayo,"Spencer, Hernandez and Taylor Rural",236,223,0.055,Migración,1.4,10.03
2021,Chocó,"Davis, Davis and Little Rural",100,92,0.071,Migración,1.9,0.94
2020,La Guajira,Blackwell-Walker Rural,293,252,0.138,Acceso,1.7,5.52
2024,Meta,Hudson-Chung Rural,224,200,0.105,Otro,2.0,4.24
2024,Putumayo,Graham PLC Rural,271,233,0.138,Trabajo infantil,1.2,1.64
2020,Meta,"Burns, Burgess and Norris Rural",163,152,0.067,Trabajo infantil,2.2,1.96
2024,Amazonas,Townsend Ltd Rural,140,121,0.129,Otro,1.1,2.77
2023,Meta,"Torres, Miller and Johnson Rural",59,57,0.019,Económica,1.6,0.61
2022,Cauca,"Harris, Walker and Cobb Rural",215,193,0.102,Económica,1.9,4.72
2024,Casanare,"Lynch, Hernandez and Garza Rural",168,145,0.132,Otro,1.8,0.84
2020,Meta,"Bowers, Buchanan and Gilmore Rural",282,277,0.017,Otro,2.0,3.28
2022,Meta,"Franklin, Wolfe and Edwards Rural",178,166,0.067,Migración,2.4,2.05
2023,Cauca,Blanchard Inc Rural,257,230,0.102,Trabajo infantil,2.5,0.72
2020,Guaviare,"Phillips, Callahan and Rios Rural",215,182,0.15,Migración,1.1,1.47
2023,Meta,"Martin, Odom and Williams Rural",184,170,0.071,Otro,1.9,5.72
